"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
4064 3.4958558 66.423023 1470.589 0.063152834 0.34060267 0.00410205847146296
4065 2.7119932 65.656039 1400.7339 0.061951061 0.3178392 0.108682048258849
4066 2.6585458 85.210267 1573.5171 0.043419161 0.34830758 0.125526801668406
4067 3.268157 69.846515 1491.7607 0.045966688 0.29807465 0.171610402656199
4068 2.8665048 69.930436 1290.0324 0.040235592 0.32436278 0.134768587811283
4245 4.1167982 67.626801 1143.6929 0.1169034 0.29600733 0.021932448901937
4246 4.115669 67.554526 1532.7867 0.096494055 0.32991186 0.0821068027810756
4247 7.4703491 70.062225 1316.9479 0.16083323 0.23364354 0.000467955603849366
4248 5.786192 32.501412 405.40761 0.28079182 0.49879009 0.000483505103915318
4249 5.315425 25.286278 351.24586 0.34712532 0.46511031 0.00041468165421873
4250 6.7313938 64.238242 1184.734 0.15169078 0.24688124 0.00204889697394458
4251 7.9624345 81.744637 1463.47 0.11744788 0.31064195 0.0138498255511464
4252 7.0144622 73.120243 1406.967 0.12048324 0.27982804 0.0193057305081423
4253 7.6969882 77.971745 1284.7629 0.11120358 0.27346646 0.0248237669206293
4254 3.755917 67.189103 1254.6746 0.069633747 0.24893904 0.0231377009254619
4255 4.7502728 72.673473 1435.8889 0.069780811 0.31242136 0.00335298209955485
4256 3.8725658 73.48236 1365.8199 0.061388145 0.27690097 0.00453106234973613
4257 2.6026435 62.567562 1375.2295 0.06090155 0.31224204 0.142452360791077
4259 3.5444033 73.54988 1432.4396 0.0409856 0.28448536 0.129763856222866
4260 2.9373428 72.539545 1376.7965 0.037591801 0.32875348 0.112829876336202
4438 4.0199109 71.687361 1468.5589 0.089967349 0.36588079 0.0841012654397581
4439 7.4269789 57.975209 1215.5565 0.18949883 0.21877727 0.000429058675758296
4440 6.1502774 28.359247 366.90231 0.31077947 0.49543211 0.000407283019465767
4441 6.6031535 84.807084 947.45166 0.124746 0.21192333 0.000332547858005299
4442 7.8429735 74.828744 1282.2974 0.15262991 0.27106106 0.00148291713477085
4443 8.0782435 73.726834 1312.3743 0.1326911 0.30557034 0.0143455536918421
4444 7.1439951 81.133038 1425.5301 0.1106716 0.30695264 0.0204333584123277
4445 5.8187832 84.431186 1421.4015 0.076353339 0.33573904 0.0151036191173448
4446 4.3152214 80.35492 1362.4683 0.064729167 0.28273016 0.0204705171860385
4447 4.3491749 83.713223 1244.5402 0.057967427 0.28341906 0.0271075294810747
4448 3.2607405 93.191812 1413.2299 0.043313 0.29407149 0.0498812592005314
4449 2.7938158 69.156087 1477.0838 0.056601772 0.32505851 0.11655617144983
4630 3.6097371 70.347459 1473.14 0.091639304 0.3305523 0.070347931434044
4631 8.7264113 83.44064 899.9507 0.13685815 0.24462651 0.000752987035728363
4632 5.7190551 25.444324 341.39042 0.32588286 0.47906258 0.000440911794251038
4633 7.0866832 101.25424 1235.5123 0.12075547 0.24082076 0.000299776141305799
4634 8.2270167 85.396921 1408.1967 0.13070651 0.29646995 0.00228550024236623
4635 8.0410621 74.583466 1466.4373 0.13494279 0.26697642 0.0182968161946849
4636 6.8722141 71.854444 1350.4555 0.12165304 0.28073441 0.0221234336183042
4637 4.7200566 94.765418 1212.8684 0.054072177 0.25410918 0.0105227036962699
4638 5.4477993 94.195353 1462.7325 0.062373537 0.23566552 0.0182162712445168
4639 3.6720125 77.537497 1447.5012 0.073687121 0.33957364 0.0613447596034328
4640 3.1182846 65.457411 1506.9196 0.066602863 0.31020914 0.0764480530023612
4641 2.6651276 52.857629 1365.8557 0.071061049 0.31429924 0.0685519317754201
4822 3.9920077 75.737794 1467.9934 0.083481717 0.34676067 0.0700283416074704
4823 8.7340567 90.562106 835.41822 0.13828179 0.22757684 0.00029125438229302
4824 6.3099704 67.536286 793.56571 0.14155539 0.26105552 0.000653806549163805
4825 7.0413833 59.370488 1142.2712 0.17002518 0.25567072 0.000872805670719815
4826 7.6581184 73.665442 1387.4466 0.13711886 0.29431376 0.00399063535807917
4827 7.8560371 80.239357 1422.7132 0.12623011 0.29831678 0.0185376280898288
4828 7.4130457 70.825099 1293.9473 0.13141135 0.30255593 0.0230671777309855
4829 4.987152 73.011159 1154.5119 0.081188507 0.21098801 0.00893832680286117
4830 5.3220108 61.887077 1441.411 0.098094701 0.26027566 0.00459564074335324
4831 3.6852164 54.027718 1484.1915 0.077872765 0.36227837 0.0087019735823145
4832 3.857674 86.76257 1341.687 0.050314276 0.26137721 0.0153472681375593
4833 2.3507816 62.915255 1430.3815 0.053199957 0.28732371 0.0834915805267234
5014 3.8473775 64.880425 1343.7776 0.094641514 0.28989238 0.0336152352956482
5015 5.2704423 31.683197 466.50857 0.33891665 0.41846247 0.000103840997504383
5016 6.9508627 77.411653 1023.347 0.11990265 0.17077381 0.00112812575834004
5017 8.5373377 82.133246 1284.134 0.12683392 0.29366639 0.00267781863648003
5018 7.8868536 61.866975 1188.5746 0.16576097 0.31326382 0.00678797052176506
5019 7.8660611 78.018085 1475.6407 0.12560944 0.28701003 0.0147385029419311
5020 7.1855842 69.474247 1344.6937 0.1314254 0.29185708 0.0211518390154871
5021 4.8777799 80.735699 1132.0832 0.093535523 0.24461571 0.00243139492035872
5022 5.1808766 85.280558 1165.2349 0.090429432 0.2540434 0.00240094021610281
5023 3.9096209 58.465582 1444.7449 0.084883447 0.35160982 0.00242218722132783
5024 2.5868517 57.100639 1446.7099 0.064090061 0.33232601 0.00369212492764307
5206 3.4448135 83.84689 1340.0032 0.07647281 0.3405749 0.0320421863539572
5208 7.0431812 78.803254 1070.1305 0.13551318 0.18599899 0.000834011273355718
5209 8.5281156 64.966422 1496.2248 0.15707729 0.27987658 0.00778890668010103
5210 7.8617027 60.587651 1436.0012 0.17409034 0.3100118 0.00841622760080162
5211 8.437022 66.680385 1415.9236 0.1501989 0.29673994 0.0138663546490884
5212 6.5458573 71.55274 1408.8412 0.11693652 0.30107828 0.0219241945737674
5213 4.8268544 71.245112 1294.6678 0.090638847 0.23745263 0.00539285813850486
5214 6.6028423 84.475931 1179.4854 0.10373777 0.2616427 0.00489943177917195
5215 3.4550055 67.602216 1318.0704 0.069156675 0.32567345 0.00355444440014585
5216 2.3870851 52.062653 1440.9239 0.069599486 0.36711709 0.00308215765005193
5398 3.9359469 51.312931 1270.6623 0.12724863 0.27063396 0.0325254860003239
5400 7.2187814 30.586636 404.09121 0.35988775 0.48184069 0.00042551597638453
5401 8.7721156 62.728408 1468.2436 0.17658054 0.32772823 0.00697297083480714
5402 7.5361472 54.648496 1468.271 0.18612949 0.33854245 0.00869300809127977
5403 8.5360998 66.517422 1458.2302 0.15167213 0.34502139 0.0133408180444025
5404 5.8992275 67.961499 1435.6682 0.10981469 0.33678111 0.0193805505963818
5405 4.0649953 75.570375 1377.2187 0.066763614 0.28656697 0.051883422624594
5406 5.0566098 90.196833 1074.9453 0.068462597 0.25163227 0.0314201779211907
5407 3.9130023 68.701811 1480.7288 0.077298521 0.32708797 0.00460929211371339
5408 2.57952 43.589849 1426.658 0.08525432 0.3693953 0.00218502241856895
5590 3.3019504 73.142713 1455.809 0.095089879 0.34677386 0.0272217383519093
5592 8.4431934 48.178175 1510.4991 0.23338273 0.30626313 0.00147339360734228
5593 8.0429767 51.600758 1479.1221 0.19110881 0.39448013 0.0136701406910441
5594 7.6856183 57.134207 1622.7229 0.18014014 0.41910018 0.0153270112438774
5595 8.221416 59.972273 1549.9398 0.16939483 0.35462361 0.0177335554322059
5596 6.7730685 58.048241 1458.8465 0.12601732 0.34284003 0.0171398014596855
5597 3.8558113 68.447703 1419.8565 0.075826606 0.31774643 0.138907943047663
5598 5.0948809 76.075077 1155.3072 0.076959638 0.21703282 0.00913824593751837
5600 2.7114377 42.399176 1415.8737 0.089841135 0.4146818 0.00158378093211522
5601 1.8259005 51.136547 1353.9342 0.051743571 0.31743257 0.0112143430484789
5782 1.9132664 50.44192 1099.1315 0.13582259 0.27959042 0.00431518817319162
5783 6.1813309 29.814033 408.73791 0.37607969 0.44058851 0.000288844734764677
5784 10.616205 54.293658 1560.8969 0.19657995 0.43062874 0.00349025650500627
5785 7.5430203 43.102627 1361.7229 0.2231033 0.37935162 0.0168223582045213
5786 7.9497402 51.625191 1563.8995 0.21414714 0.4229676 0.0189730764648107
5787 8.1649682 51.500807 1588.783 0.19433805 0.34009382 0.0233993247872137
5788 7.9615673 57.735539 1411.8007 0.15242446 0.37145272 0.0175358043338103
5789 6.3355801 60.711979 1403.5427 0.12595335 0.30729858 0.0225580598069848
5790 4.8165663 61.579285 1036.7058 0.10864904 0.35886057 0.00687333510939461
5793 1.8332454 41.236421 1179.8591 0.069398969 0.35246494 0.0030807473716471
5974 2.6019691 58.140811 995.90661 0.15421115 0.37150273 0.00142209135926167
5975 4.5557781 55.814884 1381.8231 0.17049074 0.30699017 0.00228498544266971
5976 4.9573872 50.954723 1428.8268 0.17874621 0.41663794 0.00682263448369482
5977 9.2746321 49.117794 1576.6337 0.22724575 0.39013708 0.0119558071188701
5978 7.9094873 49.977316 1509.1417 0.20000967 0.42499267 0.0150337547283714
5979 6.0366022 54.705507 1439.568 0.13343247 0.38407513 0.0234773919282029
5980 6.2648508 55.529857 1555.8872 0.13443245 0.34011952 0.0227873082228395
5981 7.6918514 66.070293 1494.5754 0.13775545 0.35052879 0.0204961490320867
5982 5.458275 53.829341 1460.8342 0.11949912 0.30738662 0.0213664337047808
5985 1.6978899 23.835765 980.36447 0.1154377 0.37669912 0.00101037522918602
6167 4.6137443 64.615526 1429.4599 0.1246938 0.3171182 0.027587951116928
6168 4.5985122 55.763028 1526.1409 0.13713742 0.31059579 0.0263713045439209
6169 6.4551765 45.01199 1523.8798 0.15775333 0.27834628 0.0178660628324293
6170 3.3152272 58.880853 1343.5479 0.094728423 0.36841317 0.0421512638320617
6171 4.0808617 57.500073 1174.9598 0.10295829 0.30658681 0.0267395045434114
6172 3.6295528 71.778661 1475.0558 0.081673451 0.32034924 0.0641281210805227
6173 3.6244295 72.60261 1322.7535 0.080990057 0.39471509 0.120850504165429
6174 3.4719394 69.74925 1459.5537 0.086055973 0.34790446 0.133481994677915
6175 3.9500219 38.824571 1423.9441 0.14223142 0.41356497 0.00906791139528279
6177 2.0387532 35.399782 1307.7132 0.081085482 0.3936417 0.00219335322046631
6359 4.1472779 64.003269 1568.9043 0.1009354 0.36735505 0.1010315400998
6360 3.8396515 63.812086 1523.1413 0.10238936 0.37052015 0.0591300541440746
6361 3.2675547 62.23731 1550.9931 0.086022255 0.35737694 0.0987913293097473
6362 2.6450191 73.207721 1455.9123 0.068710365 0.40812757 0.0538265646215778
6363 3.593754 71.809996 1279.7505 0.078851351 0.31924732 0.0470990164590563
6364 3.840325 77.372882 1441.9806 0.079414184 0.30884772 0.0591479444785802
6365 3.9744265 62.555381 1386.5929 0.092292756 0.30819471 0.107835094884398
6366 3.4248075 66.591632 1459.9251 0.078849617 0.35198107 0.161127783346105
6367 4.104982 46.724666 1490.0657 0.1108706 0.36581574 0.010854588200064
6369 2.5373904 42.493627 1424.4101 0.082595718 0.41377539 0.00111976025876931
6370 2.1003202 41.693586 1410.5025 0.070420428 0.37538228 0.00864101930564196
6551 4.3165393 84.88331 1585.724 0.079580413 0.39532333 0.158098601808131
6552 4.0585266 68.779985 1408.0409 0.097117374 0.32421586 0.0837495554444959
6553 3.4239921 65.21807 1352.3077 0.083984377 0.33313098 0.10608569885291
6554 2.7891536 65.826771 1357.2327 0.075770216 0.30387988 0.0840533642339831
6555 3.3531259 76.367615 1485.6681 0.069968392 0.28693031 0.102625626135801
6556 3.438582 77.938271 1456.4623 0.071664068 0.2986062 0.0892199898670752
6557 4.0504399 76.397612 1486.0594 0.074223838 0.31910884 0.104552321210686
6558 3.7057823 80.972633 1676.279 0.062213633 0.3454461 0.125763169236384
6559 4.5813047 64.282693 1352.2749 0.077057815 0.29697232 0.0221233615498136
6560 3.4676439 59.412785 1276.5906 0.073565043 0.35199059 0.00836525110481142
6561 2.9006583 45.825276 1368.0615 0.0854741 0.39859087 0.00195758061382399
6562 2.2629292 41.399981 1113.1434 0.073538905 0.36711292 0.00257326854916609
