"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
4502 6.7548979 400.81154 1227.3947 0.16251485 0.067730571 0.584364772560732
4503 7.1712332 384.9215 1140.9454 0.14359079 0.067615986 0.49876875452177
4504 8.7851876 424.28235 1196.3178 0.14776339 0.076003088 0.26787714190615
4505 10.653554 445.12109 1185.313 0.21376818 0.069344931 0.171280127195325
4506 7.5515863 406.24951 1199.4789 0.16544734 0.071394866 0.460316329747161
4507 5.4457751 403.92442 1156.8613 0.10098548 0.077244838 0.819291456286974
4658 13.255791 391.43479 1171.5424 0.25736637 0.072238324 0.173321174403209
4659 10.872718 463.45341 1049.8998 0.19949996 0.06812466 0.228914693805567
4660 10.050286 428.78898 1209.9679 0.21084789 0.05692608 0.261937119454127
4661 7.1775176 379.12425 869.436 0.19545845 0.07453719 0.535847578394067
4662 6.9145958 438.54271 1181.4522 0.14999131 0.075629661 0.569465874416736
4663 7.3954058 417.3774 1200.9872 0.140467 0.071107736 0.485502687934624
4664 9.4577296 409.29562 1094.892 0.15909637 0.073618079 0.255966124629828
4665 11.309898 413.24854 1224.1777 0.22352498 0.099551253 0.128969421337134
4666 8.2397774 422.39628 1270.5067 0.16023953 0.066774584 0.342010831520723
4818 9.7981331 432.37588 1181.3712 0.21240786 0.058100839 0.333589886286191
4819 11.377229 429.93603 1274.0062 0.21819718 0.057659972 0.189138423511527
4820 10.062142 408.35326 1119.8345 0.21599563 0.056703176 0.273718363627916
4821 8.6999254 426.8246 1128.0481 0.22704494 0.058698099 0.439415461972123
4822 6.9957612 409.31366 1147.0804 0.15269194 0.071997849 0.553850063494601
4823 7.6914479 429.28299 1219.9614 0.14762322 0.073450971 0.465969340712589
4824 9.3648276 418.42806 1233.2901 0.15866191 0.069284529 0.266557914285849
4825 14.755911 341.25705 579.67255 0.280357 0.14290043 0.0135271709218057
4826 8.6685912 437.95625 1164.5238 0.1621112 0.070107188 0.29166571384601
4827 4.6994112 413.13269 1204.8296 0.083933353 0.08440801 0.894233943687929
4978 14.128225 449.90854 1175.6668 0.25860006 0.085841618 0.155223038960796
4979 11.739983 426.58916 1299.7463 0.22871912 0.057993374 0.168051543987579
4980 9.8211784 439.75823 1167.0201 0.202286 0.059957251 0.291724186038848
4981 9.7696286 330.10165 1160.0085 0.27562633 0.044005359 0.342733702313302
4982 7.0910391 427.62773 1226.7393 0.1470484 0.071718232 0.543568737133278
4983 7.759087 417.30404 1199.5787 0.1539235 0.072777983 0.448071601726794
4984 9.1383075 431.73313 1264.5713 0.15493524 0.069926298 0.290071702447838
4985 13.111635 453.03514 1201.3025 0.26422159 0.17289978 0.0604315347896626
4986 8.9497429 415.99399 1133.7312 0.14895296 0.080572352 0.249953851289451
4987 4.735097 361.17494 1160.4539 0.094004724 0.075290577 0.889089928017568
5138 14.946719 432.9313 1133.7493 0.27629135 0.098939161 0.140001015684759
5139 11.893314 439.569 1160.0648 0.23268723 0.062580971 0.163467350190176
5140 9.3898121 442.83661 1191.0801 0.19934129 0.06090752 0.312883842682907
5141 10.108463 443.41315 1174.6546 0.23867465 0.058098139 0.329130772850025
5142 7.1235433 427.33236 1177.2955 0.14729164 0.073754538 0.533777378906539
5143 7.9216282 402.55546 1140.9769 0.15826308 0.07222826 0.440716157514501
5144 8.7924188 394.31632 1347.2476 0.16450493 0.061935997 0.332052960293386
5145 12.876117 391.48503 1392.7549 0.26506716 0.13910198 0.0787729845323557
5146 11.759395 408.64529 1142.0421 0.24030601 0.066803893 0.146731205791513
5147 5.4021919 408.23561 1050.2989 0.099702649 0.084274648 0.836075901959999
5298 15.435084 450.28266 1218.5784 0.28751846 0.16988017 0.119715748310803
5299 11.250352 431.85038 1206.4053 0.2328079 0.058055405 0.1933189322351
5300 9.1434054 408.22066 1142.0985 0.20611749 0.058081174 0.330100625743893
5301 9.8822761 441.33127 1328.5388 0.23350731 0.056612007 0.383324106342295
5302 7.2815023 396.37496 1222.259 0.154294 0.066770699 0.514393176066547
5303 7.9562417 414.74809 1220.7146 0.15758144 0.070963581 0.443898875805848
5304 8.233178 415.94229 1177.7992 0.1638698 0.071073461 0.398832055214268
5305 13.038578 434.47029 1257.218 0.25282481 0.13858114 0.0922657064007501
5306 16.367904 452.54698 1190.1831 0.24769978 0.058228193 0.000429706904600149
5307 6.241375 401.01058 1170.503 0.10442993 0.078134827 0.660995320119514
5458 15.660295 400.67149 1329.4966 0.29311927 0.17777935 0.0949225558603387
5459 10.86551 415.37597 1164.6711 0.2268128 0.05671495 0.228562034319687
5460 8.8784768 435.93527 1167.6889 0.19588449 0.06132275 0.341738191614673
5461 7.425789 410.22863 1082.2734 0.20042381 0.067812845 0.509775387902052
5462 7.6334921 401.53104 1219.9945 0.16164881 0.06734976 0.48193278670896
5463 7.9354577 396.02471 1247.791 0.16398895 0.06604324 0.444683467915429
5464 7.6541015 419.57146 1219.4483 0.16744282 0.068961673 0.470388970219389
5465 11.385903 430.6462 1284.7752 0.22932552 0.093708997 0.132818434071457
5466 24.436941 489.25964 1256.7565 0.27680725 0.035728684 0.000104110619707928
5467 8.0864674 431.05474 1091.6896 0.15814275 0.074989682 0.347964629297197
5618 15.925544 417.99213 1041.8511 0.29797684 0.19346002 0.0676338975790689
5619 10.39704 388.90365 1217.2134 0.22889098 0.051846397 0.263644979209088
5620 8.9833225 386.68096 1176.7027 0.21213572 0.055098901 0.345716495435674
5621 7.680287 407.13703 1269.29 0.1937896 0.061284669 0.488867196474826
5622 8.052583 453.27239 1180.081 0.15535736 0.076782992 0.437018778709438
5623 8.1358576 415.86853 1082.5531 0.16390028 0.075099166 0.422858692160947
5624 7.364967 447.0166 1178.3551 0.17007066 0.073937478 0.520051466905572
5625 10.300836 452.41769 1186.5685 0.17095736 0.075422549 0.209862211584249
5626 45.131015 599.95505 1418.961 0.3856999 0.027760507 7.79433632393246e-05
5627 10.080038 410.85248 1167.3867 0.19631463 0.061086136 0.217489000221282
5778 16.220971 408.9255 1126.7485 0.28856878 0.22748789 0.0539157263839453
5779 9.5009912 381.65515 1150.1661 0.2186777 0.053514893 0.303464702457429
5780 8.8013473 399.14333 1024.2242 0.20383752 0.062357482 0.35116494125316
5781 8.1048301 407.97096 1211.2113 0.18872308 0.061664008 0.431508237883416
5782 8.5467119 424.54597 1187.6135 0.16621198 0.068677555 0.37445869599565
5783 8.4590209 403.06037 1224.7456 0.1669905 0.065420714 0.375196841490944
5784 9.7785109 367.5047 1112.2421 0.23194354 0.054830224 0.452516620143861
5785 8.9618827 392.71849 1276.7961 0.16758787 0.062447388 0.297221162644572
5786 43.501544 599.83162 1691.265 0.38716394 0.024956286 7.79017420202483e-05
5787 11.887684 470.65586 1252.8868 0.23461382 0.076401767 0.147930289844579
5788 4.4574342 406.62048 1042.4776 0.084384084 0.09273197 0.920889361791323
5939 13.161925 413.4342 1167.6385 0.24696554 0.064439445 0.192281986791819
5940 8.6989116 438.39239 1101.0933 0.18815907 0.066390519 0.364286419722911
5941 8.1791578 379.2966 1187.8108 0.19143258 0.058050727 0.410321729898697
5942 8.8384623 413.23808 1224.6879 0.1660878 0.065898238 0.344469108505318
5943 8.7775743 426.72391 1221.7205 0.1607246 0.068851048 0.331037669106809
5944 9.6519729 352.2601 1292.7467 0.22857819 0.048701232 0.454128828376955
5945 8.4777587 372.12173 1190.6366 0.17718823 0.062771611 0.404039645045346
5946 17.742631 473.40989 1225.2076 0.24564672 0.049044896 0.000326971424859522
5947 12.682376 453.47488 1161.0133 0.269458 0.10674731 0.114429894088193
5948 5.2187886 406.09036 1147.5261 0.092671466 0.083154832 0.824944375655127
6099 12.550568 424.75892 1181.2384 0.25558304 0.084463176 0.176156768518391
6100 10.596086 423.39379 1280.0896 0.22252124 0.054156714 0.338757636220162
6101 8.2635504 428.53326 1294.4133 0.17587978 0.064490118 0.43319209168461
6102 8.8363951 429.07255 1251.1903 0.16386451 0.067387284 0.34985863865031
